Feature ID	kingdom	phylum	class	order	family	genus	species	Confidence
f6563c01d45907923f1424c7036e5b68	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Clostridium	spiroforme	0.999990101549
1ac4220d3cb798f732fc9031a5a66e02	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		0.994592063054
1def8230024be2c71bef0647020753da	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	zeae	0.999996337822
1f5e2c61fe3f851eaaf21bbedcbab9a8	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae			0.750093284014
99d6bfff77b6ac7e515917222c647a12	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			0.999998977532
04c6dc4fa401dbc38c726d574dcca25c	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		0.955344788263
5d41758f4c2942508f0fa3c1dd2d0f8c	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	hathewayi	0.999856367314
5c9f229d9796959dfc8dad05616f22b1	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Eggerthella	lenta	0.999907068053
03e14580a4ea4d6e7e14f407a2ef6f2c	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	zeae	0.999996801903
0e602d23b9195af7de9cb99deb64f455	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		0.963311642953
6f5751a9e2ee8b0adb3cc474760bc8b0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	longicatena	0.867593328297
7f002595efd2994fb7252b28a54e899f	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	producta	0.996196670416
71f72daf1f0eff27ebef2b7d6d453f58	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus		0.999986751599
ae78f91f9e06b9fbc9af2b5dc49e317c	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium		0.998223165899
294cc3f9b93b7874b8ef01b4775ab546	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Eggerthella	lenta	0.81436089243
9d1ce7970af048561791ccdefc05b3cd	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella		0.999999999998
074ac8912ab27c5ddcdadf886fd5daba	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			0.999999986754
412913dfb71ce16e3c24e6ba7c4c0976	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	mucosae	0.999991214264
7c87a6c9455e51191ffbc8f8c09908ac	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	neonatale	0.999997536329
ae84de252ce35e4a0b945eec42d35f0e	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		0.999997247028
c13e3053eb5377299d200703a9ae2de9	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		0.768728579659
0f4220472c9ffcc8807bc833589d22c6	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	mucosae	0.999997147287
b13c6ea1bdbfc0c1dcb7943d0abfd4a3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus		0.988945362677
dbc5a8d5fd709830b65d9376b932ba55	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea		0.96810853906
f68ebb9111c08f5423c18fa0e2f26e58	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea		0.986778302097
ca2933b9dbaa42e7d31e7653104f4130	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia		0.999965069461
29bc77cc8740c96fcaac9633029e25a2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			0.999999999989
ca9234a1fb4ab3db38ef08223c35697a	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae			0.999271266555
9d84d8b67e96ef308b06bc72751d1145	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			0.999998683905
